 "GEOID" "GEOCODE" "NAME" "U7G001"
 "1400000US12103025505" "12103025505" "Census Tract 255.05" "951"
 "1400000US12103025507" "12103025507" "Census Tract 255.07" "2034"
 "1400000US12103025508" "12103025508" "Census Tract 255.08" "1015"
 "1400000US12103025509" "12103025509" "Census Tract 255.09" "1545"
 "1400000US12103025510" "12103025510" "Census Tract 255.10" "1241"
 "1400000US12103025602" "12103025602" "Census Tract 256.02" "2027"
 "1400000US12103025603" "12103025603" "Census Tract 256.03" "1245"
 "1400000US12103025604" "12103025604" "Census Tract 256.04" "751"
 "1400000US12103025700" "12103025700" "Census Tract 257" "2425"
 "1400000US12103025800" "12103025800" "Census Tract 258" "1779"
 "1400000US12103025901" "12103025901" "Census Tract 259.01" "2432"
 "1400000US12103025902" "12103025902" "Census Tract 259.02" "1671"
 "1400000US12103026001" "12103026001" "Census Tract 260.01" "2354"
 "1400000US12103026003" "12103026003" "Census Tract 260.03" "2119"
 "1400000US12103026004" "12103026004" "Census Tract 260.04" "1154"
 "1400000US12103026101" "12103026101" "Census Tract 261.01" "1295"
 "1400000US12103026102" "12103026102" "Census Tract 261.02" "836"
 "1400000US12103026200" "12103026200" "Census Tract 262" "889"
 "1400000US12103026300" "12103026300" "Census Tract 263" "3005"
 "1400000US12103026401" "12103026401" "Census Tract 264.01" "1393"
 "1400000US12103026402" "12103026402" "Census Tract 264.02" "1504"
 "1400000US12103026501" "12103026501" "Census Tract 265.01" "1610"
 "1400000US12103026502" "12103026502" "Census Tract 265.02" "1520"
 "1400000US12103026601" "12103026601" "Census Tract 266.01" "1578"
 "1400000US12103026602" "12103026602" "Census Tract 266.02" "1253"
 "1400000US12103026701" "12103026701" "Census Tract 267.01" "2076"
 "1400000US12103026703" "12103026703" "Census Tract 267.03" "3041"
 "1400000US12103026704" "12103026704" "Census Tract 267.04" "1447"
 "1400000US12103026705" "12103026705" "Census Tract 267.05" "1667"
 "1400000US12103026804" "12103026804" "Census Tract 268.04" "2592"
 "1400000US12103026809" "12103026809" "Census Tract 268.09" "1629"
 "1400000US12103026811" "12103026811" "Census Tract 268.11" "2857"
 "1400000US12103026812" "12103026812" "Census Tract 268.12" "2433"
 "1400000US12103026813" "12103026813" "Census Tract 268.13" "1500"
 "1400000US12103026814" "12103026814" "Census Tract 268.14" "1359"
 "1400000US12103026815" "12103026815" "Census Tract 268.15" "2056"
 "1400000US12103026816" "12103026816" "Census Tract 268.16" "2737"
 "1400000US12103026817" "12103026817" "Census Tract 268.17" "2383"
 "1400000US12103026818" "12103026818" "Census Tract 268.18" "1825"
 "1400000US12103026819" "12103026819" "Census Tract 268.19" "1321"
 "1400000US12103026820" "12103026820" "Census Tract 268.20" "3005"
 "1400000US12103026821" "12103026821" "Census Tract 268.21" "1127"
 "1400000US12103026904" "12103026904" "Census Tract 269.04" "2467"
 "1400000US12103026908" "12103026908" "Census Tract 269.08" "2051"
 "1400000US12103026909" "12103026909" "Census Tract 269.09" "2726"
 "1400000US12103026911" "12103026911" "Census Tract 269.11" "2390"
 "1400000US12103026912" "12103026912" "Census Tract 269.12" "2910"
 "1400000US12103026913" "12103026913" "Census Tract 269.13" "2263"
 "1400000US12103026914" "12103026914" "Census Tract 269.14" "2364"
 "1400000US12103026915" "12103026915" "Census Tract 269.15" "1678"
 "1400000US12103026916" "12103026916" "Census Tract 269.16" "2131"
 "1400000US12103026917" "12103026917" "Census Tract 269.17" "931"
 "1400000US12103027000" "12103027000" "Census Tract 270" "3026"
 "1400000US12103027105" "12103027105" "Census Tract 271.05" "1847"
 "1400000US12103027106" "12103027106" "Census Tract 271.06" "2538"
 "1400000US12103027107" "12103027107" "Census Tract 271.07" "1065"
 "1400000US12103027108" "12103027108" "Census Tract 271.08" "1802"
 "1400000US12103027202" "12103027202" "Census Tract 272.02" "3214"
 "1400000US12103027204" "12103027204" "Census Tract 272.04" "2331"
 "1400000US12103027206" "12103027206" "Census Tract 272.06" "2674"
 "1400000US12103027207" "12103027207" "Census Tract 272.07" "1966"
 "1400000US12103027208" "12103027208" "Census Tract 272.08" "2760"
 "1400000US12103027209" "12103027209" "Census Tract 272.09" "1193"
 "1400000US12103027210" "12103027210" "Census Tract 272.10" "2783"
 "1400000US12103027211" "12103027211" "Census Tract 272.11" "2932"
 "1400000US12103027212" "12103027212" "Census Tract 272.12" "2218"
 "1400000US12103027308" "12103027308" "Census Tract 273.08" "2034"
 "1400000US12103027309" "12103027309" "Census Tract 273.09" "899"
 "1400000US12103027314" "12103027314" "Census Tract 273.14" "1586"
 "1400000US12103027316" "12103027316" "Census Tract 273.16" "2155"
 "1400000US12103027317" "12103027317" "Census Tract 273.17" "2521"
 "1400000US12103027318" "12103027318" "Census Tract 273.18" "1944"
 "1400000US12103027319" "12103027319" "Census Tract 273.19" "2379"
 "1400000US12103027320" "12103027320" "Census Tract 273.20" "1860"
 "1400000US12103027321" "12103027321" "Census Tract 273.21" "547"
 "1400000US12103027323" "12103027323" "Census Tract 273.23" "1278"
 "1400000US12103027324" "12103027324" "Census Tract 273.24" "1795"
 "1400000US12103027325" "12103027325" "Census Tract 273.25" "1618"
 "1400000US12103027326" "12103027326" "Census Tract 273.26" "2220"
 "1400000US12103027327" "12103027327" "Census Tract 273.27" "2008"
 "1400000US12103027328" "12103027328" "Census Tract 273.28" "1768"
 "1400000US12103027329" "12103027329" "Census Tract 273.29" "1538"
 "1400000US12103027330" "12103027330" "Census Tract 273.30" "1472"
 "1400000US12103027331" "12103027331" "Census Tract 273.31" "1735"
 "1400000US12103027332" "12103027332" "Census Tract 273.32" "1341"
 "1400000US12103027333" "12103027333" "Census Tract 273.33" "2194"
 "1400000US12103027401" "12103027401" "Census Tract 274.01" "1495"
 "1400000US12103027404" "12103027404" "Census Tract 274.04" "4416"
 "1400000US12103027501" "12103027501" "Census Tract 275.01" "2935"
 "1400000US12103027503" "12103027503" "Census Tract 275.03" "2261"
 "1400000US12103027504" "12103027504" "Census Tract 275.04" "1295"
 "1400000US12103027603" "12103027603" "Census Tract 276.03" "1780"
 "1400000US12103027604" "12103027604" "Census Tract 276.04" "3017"
 "1400000US12103027605" "12103027605" "Census Tract 276.05" "1205"
 "1400000US12103027606" "12103027606" "Census Tract 276.06" "1642"
 "1400000US12103027701" "12103027701" "Census Tract 277.01" "2116"
 "1400000US12103027703" "12103027703" "Census Tract 277.03" "2007"
 "1400000US12103027704" "12103027704" "Census Tract 277.04" "2647"
 "1400000US12103027801" "12103027801" "Census Tract 278.01" "1690"
 "1400000US12103027802" "12103027802" "Census Tract 278.02" "2242"
 "1400000US12103027901" "12103027901" "Census Tract 279.01" "2519"
 "1400000US12103027905" "12103027905" "Census Tract 279.05" "3175"
 "1400000US12103028002" "12103028002" "Census Tract 280.02" "3025"
 "1400000US12103028004" "12103028004" "Census Tract 280.04" "1606"
 "1400000US12103028005" "12103028005" "Census Tract 280.05" "1494"
 "1400000US12103028006" "12103028006" "Census Tract 280.06" "1770"
 "1400000US12103028102" "12103028102" "Census Tract 281.02" "2118"
 "1400000US12103028103" "12103028103" "Census Tract 281.03" "1454"
 "1400000US12103028104" "12103028104" "Census Tract 281.04" "3024"
 "1400000US12103028200" "12103028200" "Census Tract 282" "1142"
 "1400000US12103028300" "12103028300" "Census Tract 283" "1891"
 "1400000US12103028403" "12103028403" "Census Tract 284.03" "2355"
 "1400000US12103028500" "12103028500" "Census Tract 285" "1317"
 "1400000US12103028601" "12103028601" "Census Tract 286.01" "3075"
 "1400000US12103028602" "12103028602" "Census Tract 286.02" "1555"
 "1400000US12103028700" "12103028700" "Census Tract 287" "1204"
 "1400000US12103990000" "12103990000" "Census Tract 9900" "0"
 "1400000US12103990100" "12103990100" "Census Tract 9901" "0"
